barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
5251;2018-08-07;;FING;;;39;FING;"Dibujo industrial.";"Félez, Jesús";8477383316
656;2018-08-07;;FING;;;62;FING;"Logic databook volume 2.";;
652;2018-08-07;;FING;;;62;FING;"Optoelectronics devices :";;
535;2018-08-07;;FING;;;60;FING;"Enciclopedia universal de transistores :";"Macchelli, Andrés D.";
5264;2018-08-07;;FING;;;50;FING;"La experiencia Starbucks :";"Michelli, Joseph A.";9789584501080
5265;2018-08-07;;FING;;;28;FING;"Controladores lógicos.";"Álvarez Pulido, Manuel";8426713475
5266;2018-08-07;;FING;;;26;FING;Bioquímica.;"Voet, Donald";9500623013
5281;2018-08-07;;FING;;;49;FING;"Plan Fénix. Propuestas para el desarrollo con equidad.";;9789506982140
1893;2018-08-07;;FING;;;59;FING;"Ciencia, investigación y desarrollo :";"Cassano, Alberto E.";
5307;2018-08-07;;FING;;;2;FING;"Histología de Di Fiore :";"Hib, José";9789872425517
2979;2018-08-07;;FING;;;37;FING;Ponencias.;;8460077152
5297;2018-08-07;;FING;;;57;FING;"Peligros y riesgos en la investigaciones :";"Cecchetto, Sergio";9789871238538
5299;2018-08-07;;FING;;;57;FING;"Transgénicos un destino tecnológico para América Latina.";"Pfeiffer, María Luisa";9879494229
5312;2018-08-07;;FING;;;24;FING;"Labview 7.1 :";"Lázaro, Antoni Mánuel";8497323912
5320;2018-08-07;;FING;;;12;FING;"Fisiología :";"Silbernagl, Stefan";9788479034443
5323;2018-08-07;;FING;;;25;FING;"Circuitos eléctricos /";"Dorf, Richard C.";9701510984
5324;2018-08-07;;FING;;;10;FING;"Biofísica /";"Glaser, Roland";8420010081
5325;2018-08-07;;FING;;;28;FING;"Autómatas programables :";"Mandado Pérez, Enrique";9788497323284
5326;2018-08-07;;FING;;;20;FING;"Redes de computadoras /";"Tanenbaum, Andrew S.";9702601622
5330;2018-08-07;;FING;;;37;FING;"Ingeniería y ciencias ambientales /";"Davis, Mackenzie L.";9701049780
5331;2018-08-07;;FING;;;20;FING;"Comunicaciones y redes de computadores /";"Stallings, William";9788420541105
5335;2018-08-07;;FING;;;9;FING;"Introducción a la química de los polímeros /";"Seymour, Raimond B.";8429179267
5337;2018-08-07;;FING;;;45;FING;"Manual de radiología para técnicos :";"Bushong, Stewart C.";8481748641
5352;2018-08-07;;FING;;;48;FING;"Introducción al análisis de regresión lineal.";"Montgomery, Douglas C.";9702403278
5353;2018-08-07;;FING;;;16;FING;Cálculo.;"Purcell, Edwin J.";9702609194
5358;2018-08-07;;FING;;;49;FING;"Economía para ingenieros :";"Delicia, Pablo Javier";9789870578147
5363;2018-08-07;;FING;;;57;FING;"Constitución argentina :";"Zarini, Helio Juan";9505084501
5367;2018-08-07;;FING;;;48;FING;"Probabilidad y estadística para ingeniería y ciencias.";"Devore, Jay L.";9706868313
5371;2018-08-07;;FING;;;22;FING;"Como programar en C++ /";"Deitel, Harvey M.";970261273X
5375;2018-08-07;;FING;;;23;FING;"Ecuaciones diferenciales aplicadas.";"Spiegel, Murray R.";9688800538
5376;2018-08-07;;FING;;;39;FING;"Medios de representación para profesionales técnicos.";"Alvarez, Graciela";9505530439
5377;2018-08-07;;FING;;;34;FING;"Mecánica para ingeniería y aplicaciones. 1. Estática.";"McGill, David J.";9687270691
5384;2018-08-07;;FING;;;46;FING;"Física moderna.";"Argüello, Luis Roque";
5385;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2008.";"Arbelo, Juan Manuel";
2948;2018-08-07;;FING;;;12;FING;"The ABC of acid-base chemistry :";"Davenport, Horace W.";
5390;2018-08-07;;FING;;;99;FING;"Tablas de equivalencias y correspondencia.";"Belber, María Carmen";9789500007023
5391;2018-08-07;;FING;;;37;FING;"La gestión del agua y su infraestructura en el desarrollo sustentable del territorio :";;
5394;2018-08-07;;FING;;;57;FING;"Código civil de la República Argentina 2010 :";;9789502020181
5396;2018-08-07;;FING;;;57;FING;"Código de comercio de la República Argentina 2010 :";"Gersovich, Carlos G.";9789502020211
5399;2018-08-07;;FING;;;57;FING;"Bioética y derechos humanos :";"Hooft, Pedro F.";9501419347
5402;2018-08-07;;FING;;;51;FING;"Robótica :";"Ollero Baturone, Aníbal";9788426713131
5406;2018-08-07;;FING;;;11;FING;Gravitación.;"Landau, Susana";9789500007221
5427;2018-08-07;;FING;;;99;FING;"Edudiseños o tecnodesignios?.";;
5432;2018-08-07;;FING;;;8;FING;"Introducción a la representación molecular.";"Rosi, Pablo E.";9789500007528
5949;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2011.";"Arbelo, Juan Manuel";
5449;2018-08-07;;FING;;;50;FING;"Selección por competencias.";"Alles, Martha";9789506414740
5465;2018-08-07;;FING;;;99;FING;Resúmenes.;;9789506982355
5466;2018-08-07;;FING;;;41;FING;"Final program and abstracts book.";;9781424441242
5472;2018-08-07;;FING;;;50;FING;"Y tú...,¿innovas o abdicas?.";"Nieto Nieto, Justo";9788483635766
5475;2018-08-07;;FING;;;30;FING;"Aplicaciones y modelado digital de la voz :";"Rufiner Di Persia, Hugo Leonardo";9789876570909
5477;2018-08-07;;FING;;;12;FING;"Human physiology :";"Silverthorn, Dee Unglaub";9780321600615
5478;2018-08-07;;FING;;;37;FING;"Evaluación de impacto ambiental :";"Echechuri, Héctor";9508021411
5480;2018-08-07;;FING;;;22;FING;"MatLab® :";"Gilat, Amos";9788429150353
5481;2018-08-07;;FING;;;42;FING;"Tratado de audiología.";"Salesa Batlle, Enrique";9788445815540
5485;2018-08-07;;FING;;;37;FING;"Prótesis, ortésis y ayudas técnicas.";"Zambudio Periago, Ramón";9788445819692
5487;2018-08-07;;FING;;;33;FING;"Fundamentos de termodinámica técnica.";"Moran, Michael J.";9788429143133
5490;2018-08-07;;FING;;;27;FING;"Electrónica :";"Boylestad, Robert L.";9786074422924
5495;2018-08-07;;FING;;;45;FING;"Imagen radiológica :";"Cabrero Fraile, Francisco  Javier";8445814508
5497;2018-08-07;;FING;;;37;FING;"Biomecánica clínica de los tejidos y las articulaciones del aparato locomotor.";"Miralles Marrero, Rodrigo C.";8445815180
5498;2018-08-07;;FING;;;8;FING;"Química :";"Brown, Theodore L.";9786074420210
5507;2018-08-07;;FING;;;24;FING;"Métodos numéricos con Matlab.";"Mathews, John H.";9788483221815
5508;2018-08-07;;FING;;;21;FING;"Cálculo 2 :";"Larson, Ron";9789701071342
5514;2018-08-07;;FING;;;31;FING;"Virtual bio-instrumentation :";"Olansen, Jon B.";0130652164
5521;2018-08-07;;FING;;;30;FING;"Tratamiento digital de señales.";"Proakis, John G.";9788483223475
5526;2018-08-07;;FING;;;28;FING;"Control PID avanzado.";"Åström, Karl J.";9788483225110
5528;2018-08-07;;FING;;;59;FING;"El conocimiento científico :";"Díaz, Esther";9502308980
5533;2018-08-07;;FING;;;31;FING;"Sistemas digitales :";"Tocci, Ronald J.";9702609704
5543;2018-08-07;;FING;;;44;FING;"Introducción a la ciencia de materiales para ingenieros.";"Shackelford, James F.";9788483226599
5545;2018-08-07;;FING;;;30;FING;"Fundamentos de señales y sistemas usando la web y Matlab®.";"Kamen, Edward W.";9789702611875
5548;2018-08-07;;FING;;;35;FING;"Mecánica de fluídos.";"White, Frank M.";9788448166038
5551;2018-08-07;;FING;;;53;FING;"Redes neuronales y sistemas borrosos.";"Brío, Bonifacio Martín de";9789701512500
5556;2018-08-07;;FING;;;31;FING;"Sistemas electrónicos digitales.";"Mandado Pérez, Enrique";9788426714305
5558;2018-08-07;;FING;;;2;FING;"Sobotta Atlas de anatomía humana :";"Putz, R.";"9788479036324 | 9788479035334"
5560;2018-08-07;;FING;;;2;FING;"Sobotta Atlas de anatomía humana :";"Putz, R.";"9788479036331 | 9788479035334"
5577;2018-08-07;;FING;;;20;FING;"Ingeniería del software.";"Sommerville, Ian";9788478290741
5591;2018-08-07;;FING;;;10;FING;"Berne y Levy Fisiología.";"Koeppen, Bruce M.";9788480864343
