barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
4252;2018-08-07;;FING;;;57;FING;"Constitución de la Nación Argentina :";;9505084242
4253;2018-08-07;;FING;;;57;FING;"Constitución de la Nación Argentina :";;9505084242
4254;2018-08-07;;FING;;;57;FING;"Constitución de la Nación Argentina :";;9505084242
5328;2018-08-07;;FING;;;57;FING;"Constitución de la Nación Argentina :";;9505084242
4255;2018-08-07;;FING;;;39;FING;"Manual de normas de aplicación para dibujo técnico.";;
4862;2018-08-07;;FING;;;39;FING;"Manual de normas de aplicación para dibujo técnico.";;
4257;2018-08-07;;FING;;;57;FING;"Tratado teórico-práctico de instituciones de derecho privado y de derecho económico.";"Negri, Carlos María";9505375212
4258;2018-08-07;;FING;;;59;FING;"Técnicas de investigación social :";"Sierra Bravo, Restituto";8428324298
4259;2018-08-07;;FING;;;56;FING;"New Headway english course :";"Soars, Liz";0194702235
4260;2018-08-07;;FING;;;56;FING;"New Headway english course :";"Soars, Liz";0194358038
4261;2018-08-07;;FING;;;56;FING;"New Headway english course :";"Soars, Liz";0194358003
4262;2018-08-07;;FING;;;32;FING;"Mathematical physiology.";"Keener, James";
4263;2018-08-07;;FING;;;43;FING;"Selected papers on laser safety.";"Sliney, David H.";081942014X
4264;2018-08-07;;FING;;;A5;FING;"Libros en Internet.";;9580452385
4265;2018-08-07;;FING;;;54;FING;"Pedagogía y universidad :";"Menin, Ovide";9508083247
4266;2018-08-07;;FING;;;59;FING;"El tecnoscopio.";"Buch, Tomás";9507013431
4267;2018-08-07;;FING;;;35;FING;"Fluid mechanics.";"Granger, Robert Alan";0486683567
4268;2018-08-07;;FING;;;32;FING;"Mathematical biology :";"Murray, J.D.";0387952233
4269;2018-08-07;;FING;;;32;FING;"Modeling and simulation in medicine and the life sciences.";"Hoppensteadt, Frank C.";0387950729
4270;2018-08-07;;FING;;;7;FING;"The second brain :";"Gershon, Michael D.";0060930721
4276;2018-08-07;;FING;;;10;FING;"Fisiología humana.";"Fernández-Tresguerres, Jesús Ángel";8448602374
4278;2018-08-07;;FING;;;7;FING;"Electrocardiografía clínica.";"Moro, C.";8448603761
4279;2018-08-07;;FING;;;7;FING;"Electrocardiografía básica :";"Moreno Gómez, R.";8448602595
4280;2018-08-07;;FING;;;7;FING;"Estrés y manifestaciones clínicas.";"Halabe Cheren, José";9701021258
4281;2018-08-07;;FING;;;41;FING;"Clinical decision support systems :";"Berner, Eta S.";0387985751
6048;2018-08-07;;FING;;;29;FING;"Circuitos electrónicos :";"Schilling, Donald L.";8448100824
4292;2018-08-07;;FING;;;9;FING;"Química orgánica /";"Morrison, Robert Thornton";9684443404
4293;2018-08-07;;FING;;;9;FING;"Química orgánica /";"Morrison, Robert Thornton";9684443404
4294;2018-08-07;;FING;;;56;FING;"New Headway english course :";"Soars, Liz";0194702243
4295;2018-08-07;;FING;;;38;FING;"Manual de organización y procedimientos hospitalarios.";;9275320373
4296;2018-08-07;;FING;;;18;FING;"Fácil Microsoft FrontPage® 2000 /";"Snell, Ned";8440693877
4299;2018-08-07;;FING;;;59;FING;"Cómo hacer presentaciones efectivas.";"Westberg, Jane";9275321906
4301;2018-08-07;;FING;;;57;FING;"Responsabilidad civil de los médicos :";"Lorenzetti, Ricardo Luis";9507271317
5349;2018-08-07;;FING;;;57;FING;"La empresa médica.";"Lorenzetti, Ricardo Luis";9507271546
4304;2018-08-07;;FING;;;57;FING;"Locación de obra.";"Gregorini Clusellas, Eduardo L.";9505272502
4305;2018-08-07;;FING;;;50;FING;"Estructuras y procesos :";"Ghiglione, Luis María";
4307;2018-08-07;;FING;;;57;FING;"Locación de servicios y responsabilidades profesionales.";"Gregorini Clusellas, Eduardo L.";9505275919
4308;2018-08-07;;FING;;;57;FING;"Ley de residuos peligrosos :";;9505273363
4320;2018-08-07;;FING;;;7;FING;"ECGs made easy :";"Aehlert, Barbara";032301433X
4328;2018-08-07;;FING;;;53;FING;"Introduction to expert systems.";"Jackson, Peter";0201876868
4331;2018-08-07;;FING;;;31;FING;"Microprocesadores y microcontroladores 8085, MCS-51 y ST6.";"Angulo Usategui, José María";8428319855
4333;2018-08-07;;FING;;;31;FING;"Microcontroladores de 4 y 8 bits.";"Tavernier, Christian";8428324069
4334;2018-08-07;;FING;;;51;FING;"Data mining :";"Witten, Ian H.";1558605525
4336;2018-08-07;;FING;;;40;FING;"¿Qué lo trae por aquí? :";;
4339;2018-08-07;;FING;;;30;FING;"Adquisición y distribución de señales.";"Pallás Areny, Ramón";8426709184
4341;2018-08-07;;FING;;;7;FING;"Muscle and sensory testing /";"Berryman Reese, Nancy";0721659586
4342;2018-08-07;;FING;;;7;FING;"Heart and mind :";"Allan, Robert";1557983569
4344;2018-08-07;;FING;;;63;FING;"Informe de distribución presupuestaria 1996.";;
4347;2018-08-07;;FING;;;54;FING;"Apuntes sobre la universidad :";"Gay, Aquiles";
4349;2018-08-07;;FING;;;61;FING;"El proceso civilizatorio :";"Ribeiro, Darcy";
4350;2018-08-07;;FING;;;3;FING;"El hombre como animal.";"Osman Hill, W.C.";
4351;2018-08-07;;FING;;;59;FING;"El hombre en la sociedad :";"Simpson, George";
4352;2018-08-07;;FING;;;61;FING;"Grupos humanos.";"Sprott, W.J.H.";
4353;2018-08-07;;FING;;;61;FING;"El individuo y el grupo :";"Johannot, Henri";
4354;2018-08-07;;FING;;;61;FING;"Dinámica de los grupos en acción.";"Thelen, Herbert A.";
4355;2018-08-07;;FING;;;61;FING;"Conducción de grupos y de masas :";"Fingermann, Gregorio";
4357;2018-08-07;;FING;;;57;FING;"Convención constituyente 1994 Paraná - Santa Fe.";"Bourlot, Rubén I.";
4359;2018-08-07;;FING;;;61;FING;"Los argentinos y el status.";"Mafud, Julio";
4360;2018-08-07;;FING;;;50;FING;"Método científico y toma de decisiones.";"Valle Vergara, Alfredo del";
4361;2018-08-07;;FING;;;63;FING;"Investigación acerca de los espacios físicos de la UNER y sus potencialidades presentes y futuras.";"Figun, Eduardo Dante";
4362;2018-08-07;;FING;;;63;FING;"Investigación acerca de los espacios físicos de la UNER y sus potencialidades presentes y futuras.";"Figun, Eduardo Dante";
L332;2018-08-07;;FING;;;63;FING;"La universidad normalizada :";;
L333;2018-08-07;;FING;;;63;FING;"Manifiesto liminar de la reforma universitaria 1918-1988.";;
2321;2018-08-07;;FING;;;41;FING;Program.;;
2322;2018-08-07;;FING;;;41;FING;"Proceedings /";;8477211531
2510;2018-08-07;;FING;;;41;FING;"Proceedings /";;
4366;2018-08-07;;FING;;;AI2;FING;"Tiempos y contratiempos de la automatización en las bibliotecas universitarias argentinas /";"Barber, Elsa E.";9879805240
4367;2018-08-07;;FING;;;35;FING;"An introduction to fluid dynamics.";"Batchelor, G.K.";0521663962
4368;2018-08-07;;FING;;;59;FING;"La investigación en ciencias de la salud.";"Salinas Martínez, Ana María";9701031008
4370;2018-08-07;;FING;;;22;FING;"Programación con C++ Builder 5.";"Charte Ojeda, Francisco";8441510466
4959;2018-08-07;;FING;;;22;FING;"Programación con C++ Builder 5.";"Charte Ojeda, Francisco";8441510466
4374;2018-08-07;;FING;;;27;FING;"Circuitos electrónicos :";"Malik, Norberto R.";8489660034
4448;2018-08-07;;FING;;;27;FING;"Circuitos electrónicos :";"Malik, Norberto R.";8489660034
4449;2018-08-07;;FING;;;27;FING;"Circuitos electrónicos :";"Malik, Norberto R.";8489660034
4450;2018-08-07;;FING;;;27;FING;"Circuitos electrónicos :";"Malik, Norberto R.";8489660034
