;Diseño de Experimentos Estrategias y análisis en ciencias e ingeniería;DOMÍNGUEZ;9786076227558;Alfaomega;uner;;;
;Métodos numéricos aplicados a la ingeniería;JORQUERA GONZÁLEZ;9786076227565;Alfaomega;uner;;;
;CIRCUITOS ELECTRÓNICOS ANALÓGICOS Del diseño al experimento;VÁZQUEZ DEL REAL;9786076228326;Alfaomega;uner;;;
;MATLAB: Con Aplicaciones a la Ingeniería, Física y finanzas;David Báez y Ofelia Cervantes;9786077072720;Alfaomega;uner;;;
;ECODISEÑO: INGENIERIA SOSTENIBLE DE LA CUNA A LA C.;AGUAYO;9786077079996;Alfaomega;uner;;;
;ELECTRICIDAD Y AUTOMATISMOS ELÉCTRICOS;ESCOBAR;9786075380599;Alfaomega;uner;;;
;ELECTROTECNIA;TRASHORRAS;9786075381428;Alfaomega;uner;;;
;PROBLEMAS RESUELTOS DE ELECTRONICA;PARDO;9786076220153;Alfaomega;uner;;;
;Sistemas Mecánico y Eléctrico del Automovil;Denton;9786076226445;Alfaomega;uner;;;
;ELECTRO-ACÚSTICA;MARTÍN DÍAZ;9786076228494;Alfaomega;uner;;;
;Computación Forense - Descubriendo Los Rastros Informáticos;Jeimy Cano;9786077073789;Alfaomega;uner;;;
;Electro-Erosión;Graell Camprubí;9786077074526;Alfaomega;uner;;;
;PRINCIPIOS DE ELECTRICIDAD Y ELECTRÓNICA III 2ed.;HERMOSA;9786077077633;Alfaomega;uner;;;
;LÓGICA PARA INFORMÁTICOS;"FARRÉ, Rafel; SIERRA, Josefina; OLIVERAS, Albert; NIEUWENHUIS, Robert; RODRÍGUEZ, Enric; NIVELA, Pilar";9786077079934;Alfaomega;uner;;;
;NTICx. Interacción de la informática en el aula 2da edición;Carruego, Rubén;9789873832093;Alfaomega;uner;;;
;¿Cómo integrar las TIC en la escuela del siglo XXI? De Clementina a las tablets;Mariano Ávalos;9789876911979;Editorial Biblos;uner;;;
;Cuerpo, educación, política. Tensiones epistémicas, históricas y prácticas;Eduardo Galak;9789876914239;Editorial Biblos;uner;;;
;Tecnología de los materiales y componentes de uso electrónico;Juan Carlos Gallardo;9789505261680;Cesarini Hnos Editores;uner;;;
;Instalaciones eléctricas en edificios;Néstor Quadri;9789505261697;Cesarini Hnos Editores;uner;;;
;Contabilidad de pasivos (SIL);Ángel Fierro;9789586488723;Ecoe Ediciones;uner;;;
;Contabilidad de activos (SIL);Ángel Fierro;9789586488730;Ecoe Ediciones;uner;;;
;Costos, decisiones empresariales (SIL);Carlos Augusto Rincón Soto;9789586488877;Ecoe Ediciones;uner;;;
;Gestión estratégica organizacional;Jorge Eliécer Prieto Herrera;9789586489089;Ecoe Ediciones;uner;;;
;Costos ABC y presupuestos;Francisco Toro López;9789873418310;Ecoe Ediciones;uner;;;
;Pedagogía Conceptual. Una puerta al futuro de la educación;Miguel de Zubiría Samper;9789585513006;Ediciones de la U;uner;;;
;Programación orientada a objetos en Java;Luis Fernando García Llinás;9789587410624;Ediciones de la U;uner;;;
;Metodología de la investigación. Diseño y ejecución;Víctor Miguel Niño Rojas;9789587623079;Ediciones de la U;uner;;;
;Enfoques y métodos de investigación en las ciencias sociales y humanas;Alexander Ortiz Ocaña;9789587624243;Ediciones de la U;uner;;;
;Estrategias de muestreo.;Andrés Gutiérrez;9789587625875;Ediciones de la U;uner;;;
;Sostenibilidad de la agricultura campesina. Cómo evaluarla y promoverla 2ª Edición;Adriana Maria Chaparro Africano;9789587632255;Ediciones de la U;uner;;;
;Diseño de investigación cualitativa;MAXWELL, Joseph A.;9788417835057;Editorial Gedisa;uner;;;
;Estrategias de investigación cualitativa;VASILACHIS DE GIALDINO, Irene (coord.);9788417835279;Editorial Gedisa;uner;;;
;Reinventar el vínculo educativo;Tizio, Hebe;9788497843461;Editorial Gedisa;uner;;;
;Estrategias de investigación cualitativa;VASILACHIS DE GIALDINO, Irene (coord.);9788497843737;Editorial Gedisa;uner;;;
;La inquietud al servicio de la educación;Equipo Norai;9788497844413;Editorial Gedisa;uner;;;
;Las fronteras de la pedagogía social;CARIDE, José Antonio;9788497844826;Editorial Gedisa;uner;;;
;Educar en la era planetaria;Édgar Morin;9788497845632;Editorial Gedisa;uner;;;
;Los laberintos de la educación;Cardús Ros, Salvador;9788497846899;Editorial Gedisa;uner;;;
;Cómo se hace una tesis;Eco, Umberto;9788497848602;Editorial Gedisa;uner;;;
;La educación mediática y los profesionales de la comunicación;Alejandro Buitrago;9788416572014;Editorial Gedisa;uner;;;
;Movimientos sociales, resistencias y universidad;PISoR, grupo de investigación;9788417341718;Editorial Gedisa;uner;;;
;El campo de la investigación cualitativa;"Denzin, Norman K.; Lincoln, Yvonna S";9788418193538;Editorial Gedisa;uner;;;
;Paradigmas y perspectivas en disputa;"Denzin, Norman K.; Lincoln, Yvonna S";9788418193545;Editorial Gedisa;uner;;;
;Las estrategias de investigación cualitativa;"Denzin, Norman K.; Lincoln, Yvonna S";9788418193552;Editorial Gedisa;uner;;;
;Métodos de recolección y análisis de datos;"Denzin, Norman K.; Lincoln, Yvonna S";9788418193569;Editorial Gedisa;uner;;;
;Cómo hacer tu primer trabajo de investigación;Bell, Judith;9788418193637;Editorial Gedisa;uner;;;
;Discurso científico, político, jurídico y de resistencia;VASILACHIS DE GIALDINO, Irene (coord.);9788497844192;Editorial Gedisa;uner;;;
;Transmediaciones: creatividad, innovación y estrategias en nuevas narrativas;Fernando Irigaray;9789874168047;La Crujía;uner;;;
;La construcción del consenso: gestión de la comunicación gubernamental;Luciano H. Elizalde, Damián Fernández Pedemonte, Mario Riorda;9789874168290;La Crujía;uner;;;
;La vida digital;Ariel Gurevich;9789876012515;La Crujía;uner;;;
;Plataformas mediáticas;José Luis Fernández;9789876012522;La Crujía;uner;;;
;Guía para diseñar proyectos de tesis;Eugenia Etkin, Alejandra Ravettino;9789876012553;La Crujía;uner;;;
;Atlas de histología normal 8ª ED.;Mariano Di Fiore;9789500210331;El Ateneo;uner;;;
;Química biológica;"Antonio Blanco ; Gustavo Blanco";9789500210348;El Ateneo;uner;;;
;Cirugía de Michans;"Alejandro Oría ; Pedro Ferraina";9789500210379;El Ateneo;uner;;;
;Descripción;María Isabel Filinich;9789876783484;Eudeba;uner;;;
;Recomendaciones de la Academia Iberoamericana de Neurología Pediátrica TOMO 2;Hugo Arroyo;9789873685682;Fundación Garrahan;uner;;;
;Neurodesarrollo : un puente entre salud y educación;Hugo Arroyo, Roberto Caraballo y Victor Ruggieri;9789873685705;Fundación Garrahan;uner;;;
;Recomendaciones de la Academia Iberoamericana de Neurología Pediátrica TOMO 1;Hugo Arroyo;9789873685712;Fundación Garrahan;uner;;;
;Nuevo curso de ciencia política;Gianfranco Pasquino;9786071623621;Fondo de Cultura Económica;uner;;;
;Sociología. Estudios sobre las formas de socialización;Georg Simmel;9786071626455;Fondo de Cultura Económica;uner;;;
;Enseñanza y aprendizaje en el siglo XXI. Metas, políticas educativas y currículo en seis países;Fernando M. Reimers;9786071641601;Fondo de Cultura Económica;uner;;;
;Las competencias en la educación. Un balance;Monique Denyer;9786071642387;Fondo de Cultura Económica;uner;;;
;Pasado y presente de los verbos leer y escribir;Emilia Ferreiro;9786071646132;Fondo de Cultura Económica;uner;;;
;La enseñanza de la ciencia. Un enfoque desde la historia y la filosofía de la ciencia;Michael R. Matthews;9786071650900;Fondo de Cultura Económica;uner;;;
;Introducción a la biopolítica;Thomas Lemke;9786071652423;Fondo de Cultura Económica;uner;;;
;En busca de la calidad académica;Catherine Paradeise;9786071653444;Fondo de Cultura Económica;uner;;;
;Las reglas del método sociológico y otros ensayos de metodología;Émile Durkheim;9786071665379;Fondo de Cultura Económica;uner;;;
;La comunicación y los medios. Metodologías de investigación cualitativa y cuantitativa;Klaus Bruhn Jensen;9786071640901;Fondo de Cultura Económica;uner;;;
;Psicología de la enseñanza y desarrollo de personas y comunidades;Rosario Ortega Ruiz;9786071641731;Fondo de Cultura Económica;uner;;;
;La lectura, otra revolución;María Teresa Andruetto;9786071643162;Fondo de Cultura Económica;uner;;;
;La Esencia del Marketing;Guillermo D\'Andrea;9789871826285;Temas;uner;;;
;El Desafío de la innovación;Luis Dambra - Roberto Luchi;9789871826414;Temas;uner;;;
;Claves del retraso y del progreso en Argentina;Juan José Llach - Martín Lagos;9789871826988;Temas;uner;;;
;Conexión Intergeneracyonal;Alberto Franichevich - Eugenio A. Marchiori;9789871826995;Temas;uner;;;
;Costos para Competir;José María Corrales - Pedro José Frías;9789873887000;Temas;uner;;;
;El desafío de cada día;Guillermo Fraile - Paola Delbosco;9789873887017;Temas;uner;;;
;Dar sentido a la Empresa;Marcelo Paladino - Paola Delbosco;9789873887031;Temas;uner;;;
;Federales y Unitarios en el siglo XXI;Juan José Llach;9789873887048;Temas;uner;;;
;Fashion Management;Guillermo Fraile - Carolina Curat - Natalia Giacani;9789873887055;Temas;uner;;;
;Cultura Innovadora;Roces, José Luis ;9789873887536;Temas;uner;;;
;Innovación Latina;Guillermo D\'Andrea;9789871826261;Temas;uner;;;
;Gestión de Riesgo;Lorenzo Preve;9789871826599;Temas;uner;;;
;La información como soporte de la dirección I;José María Corrales - Pedro José Farias - Ivana Lobo;9789871826926;Temas;uner;;;
;La información como soporte de la dirección II;José María Corrales - Pedro José Farias - Ivana Lobo;9789871826933;Temas;uner;;;
;Negociaciones Complejas;Roberto Luchi - Alejandro Zamprile;9789871826940;Temas;uner;;;
;Finanzas para directivos;Gabriel Luis Noussan - Pablo Fernández;9789871826957;Temas;uner;;;
;Punto de partida;Chorne Massau, Fernando;9789873887857;Temas;uner;;;
;Pymes constructoras;"Orrego, Sebastián; Pezzati, Emilia";9789873887895;Temas;uner;;;
;Administración de ventas (8a edición);;9786073208536;;uner;;;
;Administración de ventas (8ª edición);David Jobber y Geoffrey Lancaster;9786073208536;Pearson;uner;;;
;Administracion de recursos humanos;Gary Dessler;9786073233156;Pearson;uner;;;
;Comportamiento organizacional;Stephen P. Robbins;9786073239868;Pearson;uner;;;
;Análisis de estados financieros;Francisco Javier Calleja Bernal;9786073240062;Pearson;uner;;;
;Administración 13ra edición;Robbins Elliot;9786073243360;Pearson;uner;;;
;Administración. Gestión organizacional, enfoques y proceso;Munch;9786073244466;Pearson;uner;;;
;Administración de empresas;;9788415552055;;uner;;;
;Administración estratégica y política de negocios;Thomas L. Wheelen;9789586992565;Pearson;uner;;;
;Contabilidad de Costos: Un enfoque gerencial (14a Edición);Charles Horngren, Srikant Datar y Madhav Rajan;9786073210263;Pearson;uner;;;
;Contabilidad de costos: Un enfoque gerencial (14ª edición);Charles Horngren, Srikant Datar y Madhav Rajan;9786073210263;Pearson;uner;;;
;Contabilidad administrativa;Francisco Javier Calleja Bernal;9786073227544;Pearson;uner;;;
;Fundamentos de Marketing;Philip Kotler;9786073238465;Pearson;uner;;;
;Fundamentos de administración;Stephen P. Robbins;9786073239639;Pearson;uner;;;
;Conceptos de administración estratégica;Fred R. David;9786073240208;Pearson;uner;;;
;Economía. 12da edición;Parkin;9786073243384;Pearson;uner;;;
;Fundamentos de Administración Financiera. Décimotercera edición;James C. Van Horne y John M. Wachowicz, Jr.;9786074429497;Pearson;uner;;;
;Economía. Principios e instrumentos (3º Edición);Arthur O?Sullivan y Steven M. Sheffrin;9788483226858;Pearson;uner;;;
;Economía internacional;Paul R. Krugman;9788490352977;Pearson;uner;;;
;Biología;Scott Freeman;9788478291243;Pearson;uner;;;
;Anatomía y fisiología humana;Elaine N. Marieb;9788483222188;Pearson;uner;;;
;Bioquímica (3º Edición);Christopher K. Mathews, K. E. van Holde y Kevin G. Ahern;9788483226940;Pearson;uner;;;
;Introducción al comportamiento organizativo;Stephen P. Robbins;9788483229545;Pearson;uner;;;
;INTRODUCCION AL MARKETING;ARMASTRONG;9788490354445;Pearson;uner;;;
;Macroeconomía;Olivier Blanchard;9788490355367;Pearson;uner;;;
;Anatomía humana. 9na edición;MARTINI;9788490355725;Pearson;uner;;;
;MICROECONOMIA;PINDYCK;9788490355756;Pearson;uner;;;
;Introducción a la administración de la organizaciones;César A. Bernal Torres;9789586992886;Pearson;uner;;;
;Investigación de mercados;Naresh Malhotra;9786073235594;Pearson;uner;;;
;Física para cursos con enfoque por competencias;Francis W. Sears;9786073223430;Pearson;uner;;;
;Física para Ciencias e Ingeniería. 4ª edición (Volumen I);Douglas Giancoli;9786074425567;Pearson;uner;;;
;Elementos de ingeniería de las reacciones químicas;Fogler H Scott;9786074427479;Pearson;uner;;;
;CUIDADOS DE ENFERMERIA EN SALUD MENTAL;Eby;9788483227466;Pearson;uner;;;
;Enfermería medico quirúrgica volumen II;Priscilla Lemone y Karen Burke;9788483227596;Pearson;uner;;;
;Farmacología para enfermería. Un enfoque fisiopatológico (2ª edición);Michael Patrick Adams, Leland Norman Holland y Paula Manuel Bostwick;9788483227602;Pearson;uner;;;
;Enfermería Medicoquirúrgica (4ª Edición);Pricislla LeMone y Karen Burke;9788483227855;Pearson;uner;;;
;El mundo de la célula;Wayne M. Becker;9788483228517;Pearson;uner;;;
;Brock: Biología de los microorganismos;Michael T. Madigan;9788490352809;Pearson;uner;;;
;La ciencia de los alimentos en la práctica;Salvador Badui Dergal;9786073232814;Pearson;uner;;;
;Física universitaria con física moderna 1;Young;9786073244411;Pearson;uner;;;
;Física universitaria con física moderna 2;Young;9786073244428;Pearson;uner;;;
;Química inorgánica;Catherine E. Housecroft;9788483225448;Pearson;uner;;;
;Química general: Principios y aplicaciones modernas;Ralph H. Petrucci;9788490355343;Pearson;uner;;;
;HABILIDADES PARA ENFERMERIA CL INICA VOL I;Smith;9788490355701;Pearson;uner;;;
;HABILIDADES PARA ENFERMERIA CL INICA VOL II;Smith;9788490355718;Pearson;uner;;;
;FISIOLOGIA HUMANA;Marieb / Keller;9788490355732;Pearson;uner;;;
;Introducción a la fisicoquímica: termodinámica;Thomas Engel y Philip Reid;9789702614180;Pearson;uner;;;
;Fundamentos de Biología;Scott Freeman;9788490354780;Pearson;uner;;;
;Química;Theodore L. Brown;9786073222358;Pearson;uner;;;
;Química de Brown para cursos con efoque por competencias;Theodore L. Brown;9786073223409;Pearson;uner;;;
;Química orgánica: Volumen 1;Leroy G. Wade;9786073238489;Pearson;uner;;;
;Química orgánica: Volumen 2;Leroy G. Wade;9786073238502;Pearson;uner;;;
;Química Física;Thomas Engel y Philip Reid;9788483226995;Pearson;uner;;;
;Autonomía y dependencia académica;Fernanda Beigel;9789507868474;Editorial Biblos;uner;;;
;Metodologías cualitativas: modelos y procedimientos de análisis;Ana Lía Kornblit;9789873421310;Editorial Biblos;uner;;;
